,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,TAXI_IN,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DEP_DELAY
645,12.0,23.0,5.0,2,1930.0,1954.0,19.0,5.0,191.0,170.0,24.0
646,6.0,26.0,7.0,7,1643.0,1658.0,15.0,3.0,102.0,98.0,15.0
647,12.0,19.0,1.0,6,1240.0,1240.0,13.0,4.0,144.0,128.0,0.0
650,1.0,24.0,7.0,1,1940.0,1936.0,9.0,3.0,100.0,96.0,-4.0
651,9.0,19.0,1.0,9,1005.0,1017.0,12.0,6.0,75.0,79.0,12.0
653,5.0,9.0,1.0,7,640.0,636.0,28.0,7.0,201.0,212.0,-4.0
654,9.0,27.0,2.0,1,1515.0,1522.0,20.0,7.0,135.0,135.0,7.0
656,3.0,6.0,7.0,2,1935.0,1930.0,16.0,9.0,92.0,67.0,-5.0
657,4.0,12.0,2.0,1,1125.0,1125.0,16.0,5.0,155.0,147.0,0.0
659,6.0,22.0,3.0,7,1100.0,1054.0,17.0,4.0,80.0,66.0,-6.0
660,10.0,30.0,7.0,8,840.0,845.0,15.0,4.0,74.0,69.0,5.0
662,5.0,3.0,2.0,5,739.0,729.0,13.0,9.0,200.0,185.0,-10.0
664,1.0,30.0,6.0,1,1245.0,1244.0,11.0,5.0,155.0,140.0,-1.0
665,9.0,14.0,3.0,3,611.0,605.0,12.0,8.0,158.0,147.0,-6.0
666,5.0,31.0,2.0,8,1730.0,1728.0,21.0,13.0,130.0,127.0,-2.0
667,4.0,7.0,4.0,11,1750.0,1745.0,10.0,6.0,120.0,107.0,-5.0
668,10.0,1.0,6.0,2,730.0,723.0,14.0,4.0,262.0,255.0,-7.0
669,5.0,17.0,2.0,0,1240.0,1256.0,19.0,6.0,60.0,55.0,16.0
670,3.0,12.0,6.0,1,835.0,830.0,11.0,5.0,75.0,75.0,-5.0
673,5.0,16.0,1.0,2,934.0,932.0,12.0,5.0,272.0,237.0,-2.0
674,6.0,1.0,3.0,8,1100.0,1055.0,19.0,6.0,62.0,68.0,-5.0
675,12.0,1.0,4.0,2,600.0,555.0,15.0,5.0,108.0,110.0,-5.0
676,12.0,8.0,4.0,6,1250.0,1248.0,12.0,6.0,125.0,110.0,-2.0
677,10.0,24.0,1.0,6,945.0,937.0,12.0,3.0,113.0,87.0,-8.0
679,12.0,9.0,5.0,11,1717.0,1712.0,4.0,6.0,50.0,40.0,-5.0
680,11.0,22.0,2.0,0,850.0,845.0,14.0,4.0,109.0,91.0,-5.0
681,6.0,15.0,3.0,2,2018.0,2022.0,22.0,4.0,194.0,185.0,4.0
682,6.0,22.0,3.0,8,1204.0,1159.0,21.0,13.0,96.0,87.0,-5.0
684,10.0,18.0,2.0,0,1425.0,1419.0,20.0,4.0,84.0,84.0,-6.0
685,4.0,4.0,1.0,6,2335.0,2334.0,16.0,10.0,230.0,222.0,-1.0
686,8.0,28.0,7.0,7,1511.0,1505.0,13.0,11.0,200.0,191.0,-6.0
689,2.0,21.0,7.0,1,1315.0,1312.0,10.0,4.0,95.0,81.0,-3.0
691,3.0,1.0,2.0,1,630.0,641.0,10.0,7.0,90.0,73.0,11.0
692,10.0,30.0,7.0,0,1355.0,1413.0,11.0,13.0,121.0,116.0,18.0
693,6.0,25.0,6.0,2,1515.0,1510.0,15.0,4.0,244.0,230.0,-5.0
695,2.0,18.0,4.0,0,1548.0,1534.0,14.0,11.0,109.0,99.0,-14.0
696,11.0,10.0,4.0,6,1610.0,1604.0,11.0,5.0,168.0,167.0,-6.0
699,9.0,5.0,1.0,1,1135.0,1130.0,12.0,6.0,195.0,180.0,-5.0
700,7.0,31.0,7.0,2,959.0,1004.0,12.0,6.0,111.0,96.0,5.0
701,3.0,9.0,3.0,2,1600.0,1559.0,18.0,9.0,85.0,83.0,-1.0
703,9.0,22.0,4.0,1,1825.0,1834.0,9.0,5.0,175.0,172.0,9.0
704,5.0,30.0,1.0,2,1315.0,1313.0,16.0,7.0,167.0,159.0,-2.0
705,8.0,15.0,1.0,7,847.0,844.0,12.0,5.0,133.0,125.0,-3.0
706,4.0,12.0,2.0,1,2140.0,2140.0,12.0,4.0,75.0,74.0,0.0
708,7.0,2.0,6.0,7,1113.0,1117.0,11.0,7.0,132.0,125.0,4.0
709,7.0,8.0,5.0,7,705.0,659.0,17.0,5.0,183.0,173.0,-6.0
710,6.0,6.0,1.0,2,540.0,539.0,10.0,3.0,64.0,48.0,-1.0
711,4.0,2.0,6.0,1,1100.0,1055.0,18.0,7.0,200.0,191.0,-5.0
712,10.0,13.0,4.0,3,1920.0,1938.0,11.0,5.0,100.0,89.0,18.0
714,4.0,18.0,1.0,7,745.0,744.0,16.0,13.0,145.0,148.0,-1.0
715,1.0,26.0,2.0,3,1855.0,1850.0,9.0,6.0,76.0,70.0,-5.0
716,10.0,24.0,1.0,8,615.0,614.0,26.0,4.0,100.0,105.0,-1.0
718,7.0,7.0,4.0,2,525.0,521.0,15.0,3.0,55.0,54.0,-4.0
719,1.0,21.0,4.0,3,1152.0,1157.0,15.0,4.0,77.0,62.0,5.0
720,8.0,8.0,1.0,1,625.0,627.0,9.0,5.0,105.0,99.0,2.0
721,8.0,5.0,5.0,11,610.0,602.0,17.0,5.0,140.0,143.0,-8.0
725,5.0,19.0,4.0,0,816.0,813.0,12.0,2.0,64.0,49.0,-3.0
726,9.0,23.0,5.0,3,1411.0,1424.0,13.0,4.0,136.0,118.0,13.0
727,1.0,18.0,1.0,1,815.0,813.0,7.0,5.0,90.0,69.0,-2.0
